scene,C1,C2,C3,C4,C5,B1,B2,B3,B4,B5,T1,T2,T3,T4,T5,R1,R2,R3,R4,R5,L1,L2,L3,L4,L5
C1,1.0000000000,0.3432532288,0.5389665060,0.5963305672,0.5973002539,-0.0020502724,0.4013833965,0.3987390739,0.5082208413,0.3291948864,0.3872755193,-0.3574193536,-0.5410202572,0.2595608902,0.3992796703,-0.5131921522,-0.5993287788,-0.6579475559,-0.5337631129,-0.5406279643,-0.5673510307,-0.5848375543,-0.5609149066,0.0945559150,-0.2926002699
C2,0.3432532288,1.0000000000,0.6027817215,0.3928848489,0.1604345535,-0.3256407922,0.2941785318,0.4611750242,0.4303166385,0.4337869139,0.4609348989,-0.2002701025,-0.3448948570,0.4404374648,0.5069703161,-0.4636103761,-0.5927799875,-0.5502730063,-0.4383105108,-0.4617567303,-0.5958228295,-0.4537556070,-0.5267300365,0.1004150197,-0.2007075342
C3,0.5389665060,0.6027817215,1.0000000000,0.7209385439,0.4594725707,-0.2918931398,0.4871720099,0.5420343080,0.7641046989,0.5095835198,0.6310379275,-0.2662066384,-0.6388013153,0.3841315739,0.5780493149,-0.5576207881,-0.7937718215,-0.8146303034,-0.6335283010,-0.6113941204,-0.7274232875,-0.6538252044,-0.7891619431,0.1996150122,-0.4746327500
C4,0.5963305672,0.3928848489,0.7209385439,1.0000000000,0.4517000579,-0.0536732772,0.5034052319,0.4108877545,0.6150320025,0.4595006505,0.4908817915,-0.2820149248,-0.5514960804,0.1510800757,0.3657049933,-0.6098517674,-0.6464882908,-0.7437242839,-0.5399480165,-0.6419556687,-0.6352775853,-0.5377450494,-0.6363107282,0.2265048434,-0.3716366930
C5,0.5973002539,0.1604345535,0.4594725707,0.4517000579,1.0000000000,0.0152380224,0.6122172511,0.2048409059,0.3158192833,0.1151009999,0.2988237969,-0.4442648355,-0.4542633982,0.0834616718,0.2247954319,-0.2998469737,-0.3935830712,-0.5068174049,-0.5286972725,-0.4120088914,-0.4009663148,-0.5782988605,-0.4881124899,-0.0754777142,-0.1796743614
B1,-0.0020502724,-0.3256407922,-0.2918931398,-0.0536732772,0.0152380224,1.0000000000,0.0822246034,-0.3431382560,-0.2638357381,-0.3222302483,-0.2630442384,0.1379759339,0.2531245773,-0.5330165782,-0.4726660327,0.1973013701,0.1896439410,0.2156442670,0.2815136371,0.1725544347,0.2240105628,0.1804131434,0.2295722908,-0.3039114293,-0.1202981325
B2,0.4013833965,0.2941785318,0.4871720099,0.5034052319,0.6122172511,0.0822246034,1.0000000000,0.1050114264,0.4278560066,0.1970068881,0.4915211898,-0.3541849092,-0.4903307320,0.0232102188,0.1429488997,-0.3910708205,-0.4876150952,-0.5335795677,-0.4691280283,-0.4144644415,-0.4191215517,-0.5625710395,-0.5150470279,-0.0502625289,-0.1846290908
B3,0.3987390739,0.4611750242,0.5420343080,0.4108877545,0.2048409059,-0.3431382560,0.1050114264,1.0000000000,0.4529033061,0.3954194449,0.3284627199,-0.2623775045,-0.4140307934,0.4279920535,0.4078108266,-0.4830502377,-0.5130603429,-0.4959149125,-0.5997601415,-0.4176232752,-0.5021906235,-0.4300899919,-0.5360569148,0.2968442837,-0.0753397292
B4,0.5082208413,0.4303166385,0.7641046989,0.6150320025,0.3158192833,-0.2638357381,0.4278560066,0.4529033061,1.0000000000,0.5062378359,0.5448922827,-0.1920303802,-0.5819342994,0.4160561333,0.5889078676,-0.5506585597,-0.7397453648,-0.7733658914,-0.5375792039,-0.6081717157,-0.6934487032,-0.5171702537,-0.7053763032,0.1576083654,-0.4774843848
B5,0.3291948864,0.4337869139,0.5095835198,0.4595006505,0.1151009999,-0.3222302483,0.1970068881,0.3954194449,0.5062378359,1.0000000000,0.3699313572,-0.0919877104,-0.4281888214,0.3902036488,0.4831391879,-0.6554022315,-0.5687303842,-0.5756606620,-0.3223646677,-0.4673448574,-0.5977068520,-0.2046654222,-0.4851692365,0.3869940673,-0.3630208785
T1,0.3872755193,0.4609348989,0.6310379275,0.4908817915,0.2988237969,-0.2630442384,0.4915211898,0.3284627199,0.5448922827,0.3699313572,1.0000000000,-0.1481836479,-0.5344997706,0.2828036293,0.3917263909,-0.5064859200,-0.6435978349,-0.6359419870,-0.4685963865,-0.4831686453,-0.5910292470,-0.4930188032,-0.6034631157,0.1123390827,-0.2787551390
T2,-0.3574193536,-0.2002701025,-0.2662066384,-0.2820149248,-0.4442648355,0.1379759339,-0.3541849092,-0.2623775045,-0.1920303802,-0.0919877104,-0.1481836479,1.0000000000,0.2933134917,-0.1381540476,-0.1929943094,0.2353105209,0.1283066053,0.1858610818,0.4462107065,0.1875690858,0.1089001912,0.5235271339,0.2639217425,-0.1743445542,-0.0998805612
T3,-0.5410202572,-0.3448948570,-0.6388013153,-0.5514960804,-0.4542633982,0.2531245773,-0.4903307320,-0.4140307934,-0.5819342994,-0.4281888214,-0.5344997706,0.2933134917,1.0000000000,-0.3200459345,-0.4738629721,0.4876735378,0.5973365241,0.6000019331,0.5775341797,0.4613149930,0.5324116447,0.5629090745,0.5831464407,-0.2523268548,0.0831082402
T4,0.2595608902,0.4404374648,0.3841315739,0.1510800757,0.0834616718,-0.5330165782,0.0232102188,0.4279920535,0.4160561333,0.3902036488,0.2828036293,-0.1381540476,-0.3200459345,1.0000000000,0.7457521479,-0.4231389800,-0.4582517073,-0.4369207032,-0.3676414349,-0.3244904864,-0.4847823495,-0.3028451252,-0.4397711233,0.2005759369,-0.1398710453
T5,0.3992796703,0.5069703161,0.5780493149,0.3657049933,0.2247954319,-0.4726660327,0.1429488997,0.4078108266,0.5889078676,0.4831391879,0.3917263909,-0.1929943094,-0.4738629721,0.7457521479,1.0000000000,-0.5418174681,-0.5851689371,-0.6190932966,-0.3781466226,-0.5081905488,-0.6230262222,-0.4553272859,-0.5909189055,0.3191078232,-0.3152207301
R1,-0.5131921522,-0.4636103761,-0.5576207881,-0.6098517674,-0.2998469737,0.1973013701,-0.3910708205,-0.4830502377,-0.5506585597,-0.6554022315,-0.5064859200,0.2353105209,0.4876735378,-0.4231389800,-0.5418174681,1.0000000000,0.6617938306,0.6482449230,0.4394043449,0.4974861869,0.5998092418,0.3720071107,0.5459859442,-0.4253068656,0.3459164497
R2,-0.5993287788,-0.5927799875,-0.7937718215,-0.6464882908,-0.3935830712,0.1896439410,-0.4876150952,-0.5130603429,-0.7397453648,-0.5687303842,-0.6435978349,0.1283066053,0.5973365241,-0.4582517073,-0.5851689371,0.6617938306,1.0000000000,0.8559708018,0.5275334367,0.5384907015,0.7305611075,0.4975198719,0.6777652278,-0.2473141327,0.4438465977
R3,-0.6579475559,-0.5502730063,-0.8146303034,-0.7437242839,-0.5068174049,0.2156442670,-0.5335795677,-0.4959149125,-0.7733658914,-0.5756606620,-0.6359419870,0.1858610818,0.6000019331,-0.4369207032,-0.6190932966,0.6482449230,0.8559708018,1.0000000000,0.5494987740,0.5896879168,0.7891963176,0.5303775709,0.7234130232,-0.1855375771,0.4582554647
R4,-0.5337631129,-0.4383105108,-0.6335283010,-0.5399480165,-0.5286972725,0.2815136371,-0.4691280283,-0.5997601415,-0.5375792039,-0.3223646677,-0.4685963865,0.4462107065,0.5775341797,-0.3676414349,-0.3781466226,0.4394043449,0.5275334367,0.5494987740,1.0000000000,0.5370707784,0.4297039521,0.6853160730,0.6463077468,-0.1675563916,-0.0264038586
R5,-0.5406279643,-0.4617567303,-0.6113941204,-0.6419556687,-0.4120088914,0.1725544347,-0.4144644415,-0.4176232752,-0.6081717157,-0.4673448574,-0.4831686453,0.1875690858,0.4613149930,-0.3244904864,-0.5081905488,0.4974861869,0.5384907015,0.5896879168,0.5370707784,1.0000000000,0.5690697909,0.5699819289,0.6098564777,-0.2026875359,0.2736535890
L1,-0.5673510307,-0.5958228295,-0.7274232875,-0.6352775853,-0.4009663148,0.2240105628,-0.4191215517,-0.5021906235,-0.6934487032,-0.5977068520,-0.5910292470,0.1089001912,0.5324116447,-0.4847823495,-0.6230262222,0.5998092418,0.7305611075,0.7891963176,0.4297039521,0.5690697909,1.0000000000,0.4283259714,0.6376708722,-0.2145726872,0.4505895338
L2,-0.5848375543,-0.4537556070,-0.6538252044,-0.5377450494,-0.5782988605,0.1804131434,-0.5625710395,-0.4300899919,-0.5171702537,-0.2046654222,-0.4930188032,0.5235271339,0.5629090745,-0.3028451252,-0.4553272859,0.3720071107,0.4975198719,0.5303775709,0.6853160730,0.5699819289,0.4283259714,1.0000000000,0.6320157374,-0.1529213146,0.1284373601
L3,-0.5609149066,-0.5267300365,-0.7891619431,-0.6363107282,-0.4881124899,0.2295722908,-0.5150470279,-0.5360569148,-0.7053763032,-0.4851692365,-0.6034631157,0.2639217425,0.5831464407,-0.4397711233,-0.5909189055,0.5459859442,0.6777652278,0.7234130232,0.6463077468,0.6098564777,0.6376708722,0.6320157374,1.0000000000,-0.1828938379,0.2947291379
L4,0.0945559150,0.1004150197,0.1996150122,0.2265048434,-0.0754777142,-0.3039114293,-0.0502625289,0.2968442837,0.1576083654,0.3869940673,0.1123390827,-0.1743445542,-0.2523268548,0.2005759369,0.3191078232,-0.4253068656,-0.2473141327,-0.1855375771,-0.1675563916,-0.2026875359,-0.2145726872,-0.1529213146,-0.1828938379,1.0000000000,-0.0963167991
L5,-0.2926002699,-0.2007075342,-0.4746327500,-0.3716366930,-0.1796743614,-0.1202981325,-0.1846290908,-0.0753397292,-0.4774843848,-0.3630208785,-0.2787551390,-0.0998805612,0.0831082402,-0.1398710453,-0.3152207301,0.3459164497,0.4438465977,0.4582554647,-0.0264038586,0.2736535890,0.4505895338,0.1284373601,0.2947291379,-0.0963167991,1.0000000000
