scene,C1,C2,C3,C4,C5,B1,B2,B3,B4,B5,T1,T2,T3,T4,T5,R1,R2,R3,R4,R5,L1,L2,L3,L4,L5
C1,1.0000000000,0.9963415561,0.9949701657,0.9965735138,0.9957487324,0.9937532683,0.9956806968,0.9965209345,0.9927940577,0.9955849551,0.9947067441,0.9924789253,0.9917413206,0.9955681530,0.9959180845,0.9904815716,0.9872414003,0.9855356951,0.9922932962,0.9909681317,0.9834939112,0.9916536707,0.9877070814,0.9953044643,0.9926399160
C2,0.9963415561,1.0000000000,0.9963524800,0.9962312012,0.9933747450,0.9934263983,0.9962527693,0.9975773592,0.9931619395,0.9970156339,0.9959397278,0.9945020911,0.9940786278,0.9972647420,0.9971616193,0.9922961253,0.9889536674,0.9878444486,0.9940718000,0.9928734969,0.9850459271,0.9937173895,0.9893682722,0.9962182505,0.9941145406
C3,0.9949701657,0.9963524800,1.0000000000,0.9967433574,0.9930157874,0.9886984833,0.9947029129,0.9957907939,0.9960028927,0.9953043437,0.9959204807,0.9900838841,0.9874984691,0.9945732410,0.9959302692,0.9865030919,0.9808648628,0.9790017160,0.9881604021,0.9867997795,0.9767798714,0.9875937223,0.9809828289,0.9937277824,0.9879664919
C4,0.9965735138,0.9962312012,0.9967433574,1.0000000000,0.9939886158,0.9927986462,0.9960774147,0.9962020005,0.9940201110,0.9961433423,0.9953585965,0.9922765688,0.9908735376,0.9943635390,0.9952968843,0.9889016618,0.9858268666,0.9835465561,0.9914776150,0.9894057510,0.9816361882,0.9911494516,0.9860355438,0.9955982705,0.9913701081
C5,0.9957487324,0.9933747450,0.9930157874,0.9939886158,1.0000000000,0.9917486223,0.9961004768,0.9935123880,0.9889646269,0.9921230676,0.9924090503,0.9891680786,0.9895518430,0.9924352573,0.9929104015,0.9894591194,0.9862744385,0.9839602242,0.9895274536,0.9891184346,0.9823159446,0.9887804361,0.9853224794,0.9921400718,0.9911490846
B1,0.9937532683,0.9934263983,0.9886984833,0.9927986462,0.9917486223,1.0000000000,0.9945777352,0.9931503497,0.9859000653,0.9922892040,0.9903528451,0.9955592511,0.9963591312,0.9916004936,0.9908533360,0.9953498436,0.9938502667,0.9934380917,0.9967142690,0.9955508919,0.9916728918,0.9960629942,0.9942183325,0.9937088230,0.9938072667
B2,0.9956806968,0.9962527693,0.9947029129,0.9960774147,0.9961004768,0.9945777352,1.0000000000,0.9950508191,0.9921544004,0.9949419964,0.9957289746,0.9927990999,0.9923741276,0.9943281612,0.9943124599,0.9916718448,0.9885975049,0.9870903751,0.9929647506,0.9921223418,0.9855093641,0.9921311779,0.9884373935,0.9947371059,0.9935537900
B3,0.9965209345,0.9975773592,0.9957907939,0.9962020005,0.9935123880,0.9931503497,0.9950508191,1.0000000000,0.9932343158,0.9967287494,0.9949692396,0.9940860034,0.9936273440,0.9971378939,0.9965431639,0.9920350873,0.9893473686,0.9881617546,0.9932184903,0.9929582355,0.9856812960,0.9936930667,0.9891592974,0.9969822045,0.9946889926
B4,0.9927940577,0.9931619395,0.9960028927,0.9940201110,0.9889646269,0.9859000653,0.9921544004,0.9932343158,1.0000000000,0.9935929640,0.9935472905,0.9880617258,0.9847176281,0.9930407503,0.9946130054,0.9832171929,0.9775362187,0.9754838998,0.9857802232,0.9834498120,0.9730556178,0.9855680516,0.9781672989,0.9912179393,0.9848312769
B5,0.9955849551,0.9970156339,0.9953043437,0.9961433423,0.9921230676,0.9922892040,0.9949419964,0.9967287494,0.9935929640,1.0000000000,0.9948662398,0.9941852885,0.9926006762,0.9965162862,0.9966375465,0.9898816352,0.9877312931,0.9862522432,0.9935897335,0.9916824514,0.9834428034,0.9939514694,0.9884020295,0.9969297806,0.9922220421
T1,0.9947067441,0.9959397278,0.9959204807,0.9953585965,0.9924090503,0.9903528451,0.9957289746,0.9949692396,0.9935472905,0.9948662398,1.0000000000,0.9918771973,0.9894724652,0.9944866075,0.9948583604,0.9881989882,0.9840016028,0.9824764001,0.9904354226,0.9890535629,0.9802073068,0.9899337666,0.9843955467,0.9938799623,0.9905449038
T2,0.9924789253,0.9945020911,0.9900838841,0.9922765688,0.9891680786,0.9955592511,0.9927990999,0.9940860034,0.9880617258,0.9941852885,0.9918771973,1.0000000000,0.9964529029,0.9941753323,0.9931124237,0.9954899142,0.9930728396,0.9924644468,0.9973783541,0.9955384593,0.9901728839,0.9976544547,0.9940256329,0.9945991388,0.9938259714
T3,0.9917413206,0.9940786278,0.9874984691,0.9908735376,0.9895518430,0.9963591312,0.9923741276,0.9936273440,0.9847176281,0.9926006762,0.9894724652,0.9964529029,1.0000000000,0.9934726170,0.9917444147,0.9970170978,0.9965406343,0.9958825340,0.9980483218,0.9970969573,0.9940545783,0.9978967204,0.9963947010,0.9944495323,0.9949481932
