scene,C1,C2,C3,C4,C5,B1,B2,B3,B4,B5,T1,T2,T3,T4,T5,R1,R2,R3,R4,R5,L1,L2,L3,L4,L5
C1,1.0000000000,0.9954295362,0.9914870547,0.9948237015,0.9930324771,0.9836475166,0.9854749068,0.9857926254,0.9927844688,0.9754397674,0.9608230916,0.9599893746,0.9790876482,0.9792172304,0.9757032235,0.9844133321,0.9888732391,0.9892705376,0.9893630285,0.9873154061,0.9712487637,0.9737290043,0.9787445577,0.9730685995,0.9774228189
C2,0.9954295362,1.0000000000,0.9909381873,0.9967337944,0.9947665401,0.9839516159,0.9854400432,0.9852921891,0.9933961622,0.9746054828,0.9587055112,0.9565613801,0.9802433649,0.9799732843,0.9755995722,0.9878408185,0.9918666555,0.9905179345,0.9919717180,0.9904292372,0.9707016658,0.9722815111,0.9793748383,0.9695042217,0.9796014200
C3,0.9914870547,0.9909381873,1.0000000000,0.9873993284,0.9802090583,0.9627120460,0.9650485641,0.9662037100,0.9826919714,0.9514864354,0.9354988300,0.9309687935,0.9586425979,0.9578612149,0.9519419437,0.9686328139,0.9823543699,0.9840338740,0.9765478361,0.9765549423,0.9644728920,0.9500098693,0.9621829776,0.9485512947,0.9588764955
C4,0.9948237015,0.9967337944,0.9873993284,1.0000000000,0.9952993560,0.9873976952,0.9904668159,0.9895055193,0.9928920154,0.9821294053,0.9634922098,0.9619906391,0.9846189709,0.9826293715,0.9820188880,0.9885843139,0.9882821069,0.9866276048,0.9917364263,0.9891005657,0.9658424032,0.9765075666,0.9786344405,0.9750789270,0.9804840034
C5,0.9930324771,0.9947665401,0.9802090583,0.9952993560,1.0000000000,0.9937346286,0.9943250278,0.9946834614,0.9950868967,0.9877145875,0.9714688739,0.9726620086,0.9901313232,0.9901839052,0.9890158612,0.9947561757,0.9910754767,0.9879219690,0.9955900859,0.9936462607,0.9695731988,0.9846515732,0.9860091319,0.9829447758,0.9880387220
B1,0.9836475166,0.9839516159,0.9627120460,0.9873976952,0.9937346286,1.0000000000,0.9964902808,0.9975094069,0.9880546457,0.9951605500,0.9845185197,0.9864121501,0.9943346571,0.9962599767,0.9943488214,0.9956394811,0.9853172822,0.9813995313,0.9936135190,0.9912233589,0.9662753136,0.9925673645,0.9897564624,0.9910982250,0.9921540337
B2,0.9854749068,0.9854400432,0.9650485641,0.9904668159,0.9943250278,0.9964902808,1.0000000000,0.9975052310,0.9885457017,0.9960729293,0.9803762707,0.9821933126,0.9946588196,0.9937184187,0.9960400096,0.9932594257,0.9821909103,0.9791902484,0.9922234945,0.9882286359,0.9615163453,0.9907898622,0.9852794769,0.9902613320,0.9893182064
B3,0.9857926254,0.9852921891,0.9662037100,0.9895055193,0.9946834614,0.9975094069,0.9975052310,1.0000000000,0.9889369000,0.9951772639,0.9811899110,0.9834158344,0.9944658546,0.9945962014,0.9958495867,0.9946775500,0.9837086359,0.9801935910,0.9936883120,0.9901921350,0.9631475436,0.9912870461,0.9867527809,0.9906698548,0.9900541496
B4,0.9927844688,0.9933961622,0.9826919714,0.9928920154,0.9950868967,0.9880546457,0.9885457017,0.9889369000,1.0000000000,0.9806615734,0.9688229738,0.9714839534,0.9878246373,0.9867812017,0.9816390462,0.9906686668,0.9923883654,0.9910887722,0.9934844365,0.9914246793,0.9807660900,0.9841710501,0.9892034971,0.9795357799,0.9889186481
B5,0.9754397674,0.9746054828,0.9514864354,0.9821294053,0.9877145875,0.9951605500,0.9960729293,0.9951772639,0.9806615734,1.0000000000,0.9856766612,0.9871818229,0.9932940008,0.9934235561,0.9966395068,0.9895803519,0.9735631268,0.9701138529,0.9868724009,0.9824383492,0.9533536145,0.9915129359,0.9823335923,0.9931139401,0.9869435753
