source_benchmark_split,task_id,size_cue,scope,calls,scenes,order_exact_count,order_exact_pct,pairwise_correct,pairwise_total,pairwise_accuracy_pct,visible_ids_exact_pct,permutation_valid_pct,format_valid_pct,scenes_5of5,scenes_1to4of5,scenes_0of5,parse_failures
N3-D0,D1_FRONT_TO_BACK,conflict,source_benchmark_split=N3-D0 | task_id=D1_FRONT_TO_BACK | size_cue=conflict,45,9,16,35.556,115,150,76.667,100.0,100.0,100.0,2,3,4,0
N3-D0,D1_FRONT_TO_BACK,congruent,source_benchmark_split=N3-D0 | task_id=D1_FRONT_TO_BACK | size_cue=congruent,45,9,25,55.556,125,150,83.333,100.0,100.0,100.0,5,0,4,0
N3-D0,D1_FRONT_TO_BACK,neutral,source_benchmark_split=N3-D0 | task_id=D1_FRONT_TO_BACK | size_cue=neutral,45,9,6,13.333,96,150,64.0,100.0,100.0,100.0,1,1,7,0
N3-D1,D0_LEFT_TO_RIGHT,conflict,source_benchmark_split=N3-D1 | task_id=D0_LEFT_TO_RIGHT | size_cue=conflict,80,16,80,100.0,160,160,100.0,100.0,100.0,100.0,16,0,0,0
N3-D1,D0_LEFT_TO_RIGHT,congruent,source_benchmark_split=N3-D1 | task_id=D0_LEFT_TO_RIGHT | size_cue=congruent,80,16,80,100.0,160,160,100.0,100.0,100.0,100.0,16,0,0,0
N3-D1,D0_LEFT_TO_RIGHT,neutral,source_benchmark_split=N3-D1 | task_id=D0_LEFT_TO_RIGHT | size_cue=neutral,80,16,80,100.0,160,160,100.0,100.0,100.0,100.0,16,0,0,0
