scene_family,run_count,candidate_count,tp,fn,tn,fp,candidate_accuracy,candidate_balanced_accuracy,interference_recall,non_interference_specificity,instance_exact_match_accuracy,any_interference_accuracy
TRANSLATE,300,840,204,96,394,146,0.7119047619047619,0.7048148148148148,0.68,0.7296296296296296,0.33,0.68
ROTATE,300,1260,147,153,598,362,0.5912698412698413,0.5564583333333333,0.49,0.6229166666666667,0.10333333333333333,0.5433333333333333
LIFT_AND_RELOCATE,300,1440,239,61,474,666,0.4951388888888889,0.6062280701754386,0.7966666666666666,0.41578947368421054,0.12333333333333334,0.7966666666666666
FC_CLEAR,300,900,0,0,676,224,0.7511111111111111,,,0.7511111111111111,0.6633333333333333,0.6633333333333333
FC_BLOCKED,300,900,0,0,567,333,0.63,,,0.63,0.07666666666666666,0.07666666666666666
