scene,C1,C2,C3,C4,C5,B1,B2,B3,B4,B5,T1,T2,T3,T4,T5,R1,R2,R3,R4,R5,L1,L2,L3,L4,L5
T5,0.0542316715,-0.1234196132,-0.0094229846,-0.0453584200,-0.0105911192,0.0536696077,-0.0503797646,0.1492775646,0.0395350246,-0.0743873739,-0.1661632260,-0.0520220452,-0.1249565138,-0.0338287459,1.0000000000,-0.3476470494,0.1989367102,0.0978123945,0.0855270944,-0.0915378918,0.1767858600,0.1215864757,-0.0993211268,-0.1216655048,-0.1710892231
R1,-0.0967563682,0.0285900058,-0.0533800583,-0.0325763890,-0.1156941826,-0.1210137143,0.0837466435,-0.3711175530,-0.0872260667,-0.0556239576,-0.0105566851,0.0449403291,-0.0546254350,0.2908921129,-0.3476470494,1.0000000000,-0.1588476248,-0.1498575333,-0.0386214051,0.0609832040,-0.1952849279,-0.2022250231,0.1126986661,0.5101953847,0.1402444501
R2,-0.5613191574,-0.0504300807,-0.5923023249,-0.6184409963,-0.6187102107,0.3420945469,0.0734866530,-0.0640167844,-0.0756956836,-0.5198676569,-0.0081749503,-0.4400816989,0.2288705131,-0.1791771861,0.1989367102,-0.1588476248,1.0000000000,0.3485727598,0.6330005968,0.5436262101,0.2754598564,0.4956592392,0.5282331620,-0.1666177674,0.4528899820
R3,-0.5002743659,0.0280676681,-0.4164663676,-0.4864915347,-0.5022825488,0.3686549256,0.1059893407,0.0143027742,-0.1740992062,-0.3704864285,-0.1684281086,-0.4066295342,0.5229645456,-0.3193143654,0.0978123945,-0.1498575333,0.3485727598,1.0000000000,0.3286041133,0.3810403717,0.0921359830,0.3073630223,0.2367906375,-0.2122613091,0.4324216172
R4,-0.6609562369,-0.0357476259,-0.6336414990,-0.6201450415,-0.6912746535,0.4317370410,0.2729462088,0.0606256821,-0.0112185940,-0.5201822939,-0.0856999818,-0.5121637273,0.2966234311,-0.3401589379,0.0855270944,-0.0386214051,0.6330005968,0.3286041133,1.0000000000,0.5995817084,0.2259963955,0.3678791775,0.6400161926,-0.1861280387,0.5304392499
R5,-0.7511510127,-0.0786084580,-0.6328905110,-0.7713891062,-0.7387442017,0.3514243368,0.3177861743,-0.2092439732,-0.0840956396,-0.6426870995,0.0283262010,-0.5611466574,0.4801872585,-0.2128544050,-0.0915378918,0.0609832040,0.5436262101,0.3810403717,0.5995817084,1.0000000000,0.0951007278,0.3548556482,0.6796127265,-0.0174808954,0.7513838072
L1,-0.1651420505,-0.2449851931,-0.3547618654,-0.2452677427,-0.2030666094,0.0735082047,-0.0599061824,0.0775747934,0.1541003877,-0.1830990444,-0.2322428167,-0.0482179589,-0.1108596695,-0.1652025266,0.1767858600,-0.1952849279,0.2754598564,0.0921359830,0.2259963955,0.0951007278,1.0000000000,0.5646349447,0.2696447178,-0.1426358126,0.0970538550
L2,-0.3856181996,-0.2286847012,-0.5550739261,-0.4239043003,-0.4520337094,0.2692211277,-0.0588917227,0.0463930978,0.1232488183,-0.3956523701,-0.2531657840,-0.3156624308,0.0698015642,-0.2151269908,0.1215864757,-0.2022250231,0.4956592392,0.3073630223,0.3678791775,0.3548556482,0.5646349447,1.0000000000,0.4782599480,-0.2699674807,0.4379322376
L3,-0.7498336693,-0.2086243584,-0.7445706466,-0.6582646345,-0.7501047248,0.3970698728,0.3582308125,-0.0525665542,0.2354624033,-0.6100707164,-0.2826810511,-0.4948133154,0.4609188354,-0.1891302101,-0.0993211268,0.1126986661,0.5282331620,0.2367906375,0.6400161926,0.6796127265,0.2696447178,0.4782599480,1.0000000000,-0.0706110113,0.6931599985
L4,0.0041258568,0.1008601466,0.0861428325,-0.0060676325,0.0267604111,-0.3436871551,-0.0343923714,-0.4470015667,-0.1043021960,0.0546862818,0.0886930391,0.1945924826,-0.1431886538,0.4643381130,-0.1216655048,0.5101953847,-0.1666177674,-0.2122613091,-0.1861280387,-0.0174808954,-0.1426358126,-0.2699674807,-0.0706110113,1.0000000000,-0.1001508922
L5,-0.7471059037,-0.1983733300,-0.6996128060,-0.6915252466,-0.7562848798,0.4899258691,0.2835140482,-0.1381923861,0.0273503987,-0.5634021425,-0.2413282913,-0.4877318570,0.5139999906,-0.2264768876,-0.1710892231,0.1402444501,0.4528899820,0.4324216172,0.5304392499,0.7513838072,0.0970538550,0.4379322376,0.6931599985,-0.1001508922,1.0000000000
