scene,C1,C2,C3,C4,C5,B1,B2,B3,B4,B5,T1,T2,T3,T4,T5,R1,R2,R3,R4,R5,L1,L2,L3,L4,L5
C1,1.0000000000,0.6883707625,0.9064326280,0.6401221639,0.4591980288,-0.5517293297,0.3753250999,-0.3312241080,0.1442827412,-0.5774885749,-0.4551152913,-0.8129189446,0.3115191897,-0.6471982851,-0.6730722505,-0.3701880963,0.2406408917,-0.0875363770,0.0762878051,0.0516784160,-0.2056815773,-0.2819065878,0.0632270265,-0.7072145963,0.0597896404
C2,0.6883707625,1.0000000000,0.6842001859,0.6621523259,0.3969378704,-0.4643733899,0.6636493453,-0.0358630949,0.4309520078,-0.3279580511,-0.5482592396,-0.7355057061,0.2506871006,-0.6257820473,-0.5820949331,-0.2854605911,0.1261307891,-0.1398356995,0.1297277536,0.2446116693,-0.3073321751,-0.4764197545,-0.1309506074,-0.6430364099,-0.2120935621
C3,0.9064326280,0.6842001859,1.0000000000,0.7303703863,0.5685230198,-0.6288395223,0.3068328314,-0.1669421325,0.1274466834,-0.4272858411,-0.4681397475,-0.7800986094,0.1862035077,-0.5859563344,-0.5334160826,-0.2087624379,0.1030334156,-0.0627688617,0.1112861698,-0.0373983526,-0.3411201364,-0.4080021401,-0.1299506560,-0.6385348793,-0.1406972555
C4,0.6401221639,0.6621523259,0.7303703863,1.0000000000,0.6689157548,-0.5769505975,0.3549737921,0.1646868066,0.2398737101,-0.1257069927,-0.5069362648,-0.6293206508,-0.0575299096,-0.4134178642,-0.3546868442,0.0027503561,-0.1277751732,-0.0193126710,0.1835384492,-0.1215143790,-0.4557368804,-0.5377164017,-0.4027626387,-0.4907993603,-0.4163368740
C5,0.4591980288,0.3969378704,0.5685230198,0.6689157548,1.0000000000,-0.4968329093,0.1009650028,0.2714337179,0.0041657925,0.0992740584,-0.4692623447,-0.4284208316,-0.1184338669,-0.2167123466,-0.0834420322,0.2507747993,-0.3032361064,0.2213212610,0.1874617227,-0.1907509999,-0.5162965283,-0.5990953084,-0.5435843654,-0.2324709106,-0.5463030476
B1,-0.5517293297,-0.4643733899,-0.6288395223,-0.5769505975,-0.4968329093,1.0000000000,-0.0787759390,-0.1522927471,0.1138657621,0.2459612408,0.3065505451,0.5242706203,-0.1562194344,0.2414364377,0.1601906767,-0.1564041624,0.1191309934,-0.1957811310,-0.3017775608,-0.1072709992,0.3201588828,0.3960187687,0.3612917381,0.2382813314,0.3183998497
B2,0.3753250999,0.6636493453,0.3068328314,0.3549737921,0.1009650028,-0.0787759390,1.0000000000,-0.1959197364,0.3106504473,-0.4076505834,-0.3563584236,-0.5771197316,0.2811395407,-0.3823149599,-0.6328696907,-0.2575001101,0.2191581018,-0.0406637009,0.2224358974,0.4542128987,-0.1310167992,-0.2782296647,0.0834729404,-0.5025694901,-0.0329086478
B3,-0.3312241080,-0.0358630949,-0.1669421325,0.1646868066,0.2714337179,-0.1522927471,-0.1959197364,1.0000000000,0.0311157210,0.5831333567,-0.1242707832,0.2342190412,-0.3321371886,0.1813772906,0.5452831820,0.5068283878,-0.5052256224,0.0913780308,0.0848745708,-0.1694877560,-0.3999969986,-0.4132417870,-0.6298929617,0.3504926208,-0.6729745219
B4,0.1442827412,0.4309520078,0.1274466834,0.2398737101,0.0041657925,0.1138657621,0.3106504473,0.0311157210,1.0000000000,0.1895066467,-0.4772659568,-0.2117836688,-0.0063146548,-0.4569487497,-0.1874656195,-0.3525643480,0.2134866927,-0.4172438743,-0.2115285449,-0.0101135202,0.1071961944,-0.0565071699,0.1146390389,-0.5059179935,-0.0301706953
B5,-0.5774885749,-0.3279580511,-0.4272858411,-0.1257069927,0.0992740584,0.2459612408,-0.4076505834,0.5831333567,0.1895066467,1.0000000000,0.0216488981,0.5516325495,-0.5297649252,0.2789307920,0.7162901152,0.4099633354,-0.4348224629,-0.1061519337,-0.2236236464,-0.3959560650,-0.1183916355,-0.1707132278,-0.4377819531,0.4419520475,-0.4711513867
