scope,mode,calls,format_valid_count,format_valid_pct,id_set_exact_count,id_set_exact_pct,id_micro_precision_pct,id_micro_recall_pct,id_micro_f1_pct,missing_id_count,extra_id_count,duplicate_output_calls,left_to_right_exact_diagnostic_pct,numerically_sorted_output_pct,parse_failures,length_finishes,mean_output_tokens,mean_wall_seconds
Overall,TEXT,300,300,100.0,300,100.0,100.0,100.0,100.0,0,0,0,75.333,0.0,0,0,23.0,0.1827
Overall,JSON_FORCED,300,300,100.0,300,100.0,100.0,100.0,100.0,0,0,0,75.0,0.0,0,0,35.667,0.2626
L3,TEXT,100,100,100.0,100,100.0,100.0,100.0,100.0,0,0,0,92.0,0.0,0,0,18.0,0.1487
L3,JSON_FORCED,100,100,100.0,100,100.0,100.0,100.0,100.0,0,0,0,93.0,0.0,0,0,29.0,0.2198
L4,TEXT,100,100,100.0,100,100.0,100.0,100.0,100.0,0,0,0,100.0,0.0,0,0,24.0,0.1884
L4,JSON_FORCED,100,100,100.0,100,100.0,100.0,100.0,100.0,0,0,0,100.0,0.0,0,0,37.0,0.271
L5,TEXT,100,100,100.0,100,100.0,100.0,100.0,100.0,0,0,0,34.0,0.0,0,0,27.0,0.2109
L5,JSON_FORCED,100,100,100.0,100,100.0,100.0,100.0,100.0,0,0,0,32.0,0.0,0,0,41.0,0.2969
