scene_a,scene_b,short_a,short_b,family_a,family_b,a_fc_clear,b_fc_clear,a_semantic_clear,b_semantic_clear,block24_cosine,final_cosine,final_minus_block24
scene_fc_blocked_v02,scene_fc_clear_v05,B2,C5,FC_BLOCKED,FC_CLEAR,False,True,False,False,0.998713063698732,0.9956637003008366,-0.0030493633978954104
scene_fc_blocked_v02,scene_lift_and_relocate_v01,B2,L1,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9985656138383697,0.9926001083544372,-0.005965505483932487
scene_fc_blocked_v02,scene_lift_and_relocate_v02,B2,L2,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9988110398229344,0.994482534915767,-0.0043285049071674075
scene_fc_blocked_v02,scene_lift_and_relocate_v03,B2,L3,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9986037511460522,0.9894575456277654,-0.00914620551828671
scene_fc_blocked_v02,scene_lift_and_relocate_v04,B2,L4,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9983252988711939,0.9909392090459275,-0.007386089825266451
scene_fc_blocked_v02,scene_lift_and_relocate_v05,B2,L5,FC_BLOCKED,LIFT_AND_RELOCATE,False,False,False,False,0.9982509654687907,0.990833417652438,-0.007417547816352621
scene_fc_blocked_v02,scene_rotate_v01,B2,R1,FC_BLOCKED,ROTATE,False,False,False,False,0.9980630037545943,0.9838147202178362,-0.01424828353675811
scene_fc_blocked_v02,scene_rotate_v02,B2,R2,FC_BLOCKED,ROTATE,False,False,False,False,0.9981324719616858,0.9760621932281145,-0.022070278733571258
scene_fc_blocked_v02,scene_rotate_v03,B2,R3,FC_BLOCKED,ROTATE,False,False,False,False,0.9979671208513874,0.9799789019864489,-0.01798821886493851
scene_fc_blocked_v02,scene_rotate_v04,B2,R4,FC_BLOCKED,ROTATE,False,False,False,False,0.9979856332560215,0.9809133242429602,-0.017072309013061338
scene_fc_blocked_v02,scene_rotate_v05,B2,R5,FC_BLOCKED,ROTATE,False,False,False,False,0.998200226728851,0.9818627924301154,-0.016337434298735576
scene_fc_blocked_v02,scene_translate_v01,B2,T1,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9977228134392427,0.9937766553231233,-0.003946158116119425
scene_fc_blocked_v02,scene_translate_v02,B2,T2,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9987186212730865,0.9917208517856052,-0.00699776948748132
scene_fc_blocked_v02,scene_translate_v03,B2,T3,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9982176052816806,0.9807592371452485,-0.01745836813643209
scene_fc_blocked_v02,scene_translate_v04,B2,T4,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9984296984583644,0.9849531009470657,-0.013476597511298705
scene_fc_blocked_v02,scene_translate_v05,B2,T5,FC_BLOCKED,TRANSLATE,False,False,False,False,0.9980634377017757,0.9854682707178001,-0.01259516698397567
scene_fc_blocked_v03,scene_fc_blocked_v04,B3,B4,FC_BLOCKED,FC_BLOCKED,False,False,False,False,0.99781072727619,0.9960970787484336,-0.0017136485277564617
scene_fc_blocked_v03,scene_fc_blocked_v05,B3,B5,FC_BLOCKED,FC_BLOCKED,False,False,False,False,0.9992952949889504,0.990997045635127,-0.008298249353823395
scene_fc_blocked_v03,scene_fc_clear_v01,B3,C1,FC_BLOCKED,FC_CLEAR,False,True,False,True,0.9990839059736243,0.981586395491696,-0.01749751048192827
scene_fc_blocked_v03,scene_fc_clear_v02,B3,C2,FC_BLOCKED,FC_CLEAR,False,True,False,True,0.9987849237883253,0.9852807628017862,-0.01350416098653906
scene_fc_blocked_v03,scene_fc_clear_v03,B3,C3,FC_BLOCKED,FC_CLEAR,False,True,False,True,0.9987176322625977,0.9878849678515385,-0.010832664411059234
