scene_id,scene_family,target_id,object_id,candidate_occlusion_pixels,candidate_occlusion_ratio,truth_occludes,run_count,predicted_occlusion_count,predicted_occlusion_rate,accuracy,numbered_rgb
scene_fc_blocked_v01,FC_BLOCKED,64,40,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v01.png
scene_fc_blocked_v01,FC_BLOCKED,64,46,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v01.png
scene_fc_blocked_v01,FC_BLOCKED,64,59,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v01.png
scene_fc_blocked_v02,FC_BLOCKED,53,49,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v02.png
scene_fc_blocked_v02,FC_BLOCKED,53,60,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v02.png
scene_fc_blocked_v02,FC_BLOCKED,53,78,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v02.png
scene_fc_blocked_v03,FC_BLOCKED,12,30,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v03.png
scene_fc_blocked_v03,FC_BLOCKED,12,33,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v03.png
scene_fc_blocked_v03,FC_BLOCKED,12,68,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v03.png
scene_fc_blocked_v04,FC_BLOCKED,89,19,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v04.png
scene_fc_blocked_v04,FC_BLOCKED,89,44,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v04.png
scene_fc_blocked_v04,FC_BLOCKED,89,77,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v04.png
scene_fc_blocked_v05,FC_BLOCKED,59,26,48,0.004170287,False,60,5,0.08333333333333333,0.9166666666666666,images/numbered_rgb/scene_fc_blocked_v05.png
scene_fc_blocked_v05,FC_BLOCKED,59,69,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v05.png
scene_fc_blocked_v05,FC_BLOCKED,59,92,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_blocked_v05.png
scene_fc_clear_v01,FC_CLEAR,53,59,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_clear_v01.png
scene_fc_clear_v01,FC_CLEAR,53,62,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_clear_v01.png
scene_fc_clear_v01,FC_CLEAR,53,98,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_clear_v01.png
scene_fc_clear_v02,FC_CLEAR,29,10,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_clear_v02.png
scene_fc_clear_v02,FC_CLEAR,29,39,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_clear_v02.png
scene_fc_clear_v02,FC_CLEAR,29,66,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_clear_v02.png
scene_fc_clear_v03,FC_CLEAR,95,20,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_clear_v03.png
scene_fc_clear_v03,FC_CLEAR,95,22,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_clear_v03.png
scene_fc_clear_v03,FC_CLEAR,95,51,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_clear_v03.png
scene_fc_clear_v04,FC_CLEAR,61,13,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_clear_v04.png
scene_fc_clear_v04,FC_CLEAR,61,38,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_clear_v04.png
scene_fc_clear_v04,FC_CLEAR,61,59,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_clear_v04.png
scene_fc_clear_v05,FC_CLEAR,62,27,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_clear_v05.png
scene_fc_clear_v05,FC_CLEAR,62,42,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_clear_v05.png
scene_fc_clear_v05,FC_CLEAR,62,82,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_fc_clear_v05.png
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,59,16,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_lift_and_relocate_v01.png
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,59,30,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_lift_and_relocate_v01.png
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,59,32,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_lift_and_relocate_v01.png
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,59,64,6071,0.606130192,True,60,0,0.0,0.0,images/numbered_rgb/scene_lift_and_relocate_v01.png
scene_lift_and_relocate_v01,LIFT_AND_RELOCATE,59,79,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_lift_and_relocate_v01.png
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,70,14,2951,0.300692888,True,60,1,0.016666666666666666,0.016666666666666666,images/numbered_rgb/scene_lift_and_relocate_v02.png
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,70,22,0,0.0,False,60,1,0.016666666666666666,0.9833333333333333,images/numbered_rgb/scene_lift_and_relocate_v02.png
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,70,72,0,0.0,False,60,1,0.016666666666666666,0.9833333333333333,images/numbered_rgb/scene_lift_and_relocate_v02.png
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,70,77,0,0.0,False,60,1,0.016666666666666666,0.9833333333333333,images/numbered_rgb/scene_lift_and_relocate_v02.png
scene_lift_and_relocate_v02,LIFT_AND_RELOCATE,70,79,0,0.0,False,60,1,0.016666666666666666,0.9833333333333333,images/numbered_rgb/scene_lift_and_relocate_v02.png
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,12,16,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_lift_and_relocate_v03.png
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,12,35,3422,0.351479047,True,60,0,0.0,0.0,images/numbered_rgb/scene_lift_and_relocate_v03.png
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,12,50,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_lift_and_relocate_v03.png
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,12,80,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_lift_and_relocate_v03.png
scene_lift_and_relocate_v03,LIFT_AND_RELOCATE,12,92,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_lift_and_relocate_v03.png
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,68,30,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_lift_and_relocate_v04.png
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,68,45,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_lift_and_relocate_v04.png
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,68,54,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_lift_and_relocate_v04.png
scene_lift_and_relocate_v04,LIFT_AND_RELOCATE,68,73,5697,0.581504542,True,60,0,0.0,0.0,images/numbered_rgb/scene_lift_and_relocate_v04.png
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,43,15,6011,0.625038993,True,60,0,0.0,0.0,images/numbered_rgb/scene_lift_and_relocate_v05.png
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,43,24,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_lift_and_relocate_v05.png
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,43,48,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_lift_and_relocate_v05.png
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,43,52,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_lift_and_relocate_v05.png
scene_lift_and_relocate_v05,LIFT_AND_RELOCATE,43,76,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_lift_and_relocate_v05.png
scene_rotate_v01,ROTATE,12,41,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v01.png
scene_rotate_v01,ROTATE,12,54,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v01.png
scene_rotate_v01,ROTATE,12,88,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v01.png
scene_rotate_v01,ROTATE,12,95,1780,0.190150625,True,60,19,0.31666666666666665,0.31666666666666665,images/numbered_rgb/scene_rotate_v01.png
scene_rotate_v02,ROTATE,38,29,0,0.0,False,60,2,0.03333333333333333,0.9666666666666667,images/numbered_rgb/scene_rotate_v02.png
scene_rotate_v02,ROTATE,38,44,0,0.0,False,60,1,0.016666666666666666,0.9833333333333333,images/numbered_rgb/scene_rotate_v02.png
scene_rotate_v02,ROTATE,38,50,3147,0.34054756,True,60,60,1.0,1.0,images/numbered_rgb/scene_rotate_v02.png
scene_rotate_v02,ROTATE,38,74,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v02.png
scene_rotate_v03,ROTATE,83,11,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v03.png
scene_rotate_v03,ROTATE,83,19,2156,0.230317274,True,60,11,0.18333333333333332,0.18333333333333332,images/numbered_rgb/scene_rotate_v03.png
scene_rotate_v03,ROTATE,83,23,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v03.png
scene_rotate_v03,ROTATE,83,41,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v03.png
scene_rotate_v04,ROTATE,47,25,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v04.png
scene_rotate_v04,ROTATE,47,29,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v04.png
scene_rotate_v04,ROTATE,47,53,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v04.png
scene_rotate_v04,ROTATE,47,95,3912,0.423330808,True,60,0,0.0,0.0,images/numbered_rgb/scene_rotate_v04.png
scene_rotate_v05,ROTATE,44,11,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v05.png
scene_rotate_v05,ROTATE,44,72,0,0.0,False,60,0,0.0,1.0,images/numbered_rgb/scene_rotate_v05.png
